update,timesteps,mean_ep_return,mean_ep_len,success_rate,flip_rate,pipe_gap_violation_rate,policy_loss,value_loss,entropy,elapsed_s
111,1818624,911.7275090443972,709.245,0.3,0.0,0.005,0.05318682640790939,104.63052368164062,3.1776154041290283,51.864946126937866
112,1835008,915.8428616044381,711.15,0.3,0.0,0.0,-0.00542053859680891,89.45591735839844,3.2055397033691406,52.31589961051941
113,1851392,914.462748730699,708.515,0.315,0.0,0.0,-0.029493993148207664,90.62165832519531,3.2321324348449707,52.77171540260315
114,1867776,925.1496687010218,716.915,0.3,0.0,0.0,-0.031370580196380615,111.77978515625,3.2610812187194824,53.21362352371216
115,1884160,928.6460723061298,721.68,0.285,0.0,0.0,-0.01481286995112896,112.26481628417969,3.277287483215332,53.49815773963928
116,1900544,928.7512274087755,721.28,0.29,0.0,0.0,0.006016905419528484,127.58841705322266,3.3025779724121094,53.946860790252686
117,1916928,931.0908432980364,722.945,0.29,0.0,0.0,0.0012140234466642141,138.33767700195312,3.325197696685791,54.36995482444763
118,1933312,923.7316449049226,717.32,0.295,0.0,0.0,0.010553968138992786,106.49588012695312,3.3355517387390137,54.7672860622406
119,1949696,898.312699647277,694.12,0.335,0.0,0.0,0.0011225994676351547,50.276851654052734,3.3645238876342773,55.252179861068726
120,1966080,914.6421224039115,708.27,0.315,0.0,0.0,-0.011977501213550568,108.27616882324219,3.3846898078918457,55.701247692108154
121,1982464,916.5107568166036,710.255,0.31,0.0,0.0,0.0015135426074266434,113.39580535888672,3.412140369415283,56.16247296333313
122,1998848,924.1613242118073,716.605,0.29,0.0,0.0,-0.0035087764263153076,102.84671020507812,3.435654640197754,56.61340951919556
123,2015232,927.9200702646614,719.75,0.28,0.0,0.0,-0.0007107830606400967,178.2967529296875,3.4430131912231445,57.02988624572754
124,2031616,926.3195658478086,718.71,0.28,0.0,0.0,-0.025953620672225952,76.2264404296875,3.472982883453369,57.49114537239075
125,2048000,917.7127331049506,710.13,0.31,0.0,0.0,-0.004825859796255827,109.3028564453125,3.4836790561676025,57.88803052902222
126,2064384,923.5615773824564,715.505,0.3,0.0,0.0,0.013413566164672375,108.87368774414062,3.511198043823242,58.373767375946045
127,2080768,943.3511060972555,734.47,0.26,0.0,0.0,0.020246244966983795,126.28448486328125,3.5389785766601562,58.83178353309631
128,2097152,961.3092291353893,753.085,0.21,0.0,0.0,0.0027097733691334724,128.47776794433594,3.5463714599609375,59.28543210029602
